Trial #1,positive,1,0,0,0
Trial #2,positive,1,0,0,0
Trial #3,negative,0,0,1,0.333333333
Trial #4,positive,1,0,0,0.25
Trial #5,negative,0,1,0,0.2
Trial #6,negative,0,1,0,0.166666667
Trial #7,negative,0,0,1,0.285714286
Trial #8,positive,1,0,0,0.25
Trial #9,positive,1,0,0,0.222222222
Trial #10,positive,1,0,0,0.2 
Trial #11,positive,1,0,0,0.181818182
Trial #12,negative,0,1,0,0.166666667
Trial #13,negative,0,0,1,0.230769231
Trial #14,negative,0,0,1,0.285714286
Trial #15,positive,1,0,0,0.266666667
Trial #16,positive,1,1,1,0.3125
Trial #17,negative,0,0,1,0.352941176
Trial #18,negative,0,0,1,0.388888889
Trial #19,negative,0,0,1,0.421052632
Trial #20,positive,1,0,0,0.4
Trial #21,positive,1,1,1,0.428571429
Trial #22,positive,1,1,1,0.454545455
Trial #23,negative,0,1,0,0.434782609
Trial #24,positive,1,1,1,0.458333333
Trial #25,positive,1,1,1,0.48
Trial #26,negative,0,0,1,0.5
Trial #27,positive,1,0,0,0.481481481
Trial #28,negative,0,0,1,0.5
Trial #29,positive,1,0,0,0.482758621
Trial #30,negative,0,0,1,0.5
Trial #31,positive,1,1,1,0.516129032
Trial #32,negative,0,1,0,0.5
Trial #33,positive,1,1,1,0.515151515
Trial #34,negative,0,0,1,0.529411765
Trial #35,negative,0,1,0,0.514285714
Trial #36,positive,1,1,1,0.527777778
Trial #37,positive,1,0,0,0.513513514
Trial #38,positive,1,0,0,0.5
Trial #39,positive,1,0,0,0.487179487
Trial #40,positive,1,1,1,0.5
Trial #41,positive,1,0,0,0.487804878
Trial #42,negative,0,0,1,0.5
Trial #43,positive,1,1,1,0.511627907
Trial #44,positive,1,0,0,0.5
Trial #45,negative,0,1,0,0.488888889
Trial #46,negative,0,0,1,0.5
Trial #47,positive,1,0,0,0.489361702
Trial #48,positive,1,0,0,0.479166667
Trial #49,negative,0,1,0,0.469387755
Trial #50,negative,0,0,1,0.48
Trial #51,positive,1,1,1,0.490196078
Trial #52,positive,1,0,0,0.480769231
Trial #53,negative,0,1,0,0.471698113
Trial #54,positive,1,0,0,0.462962963
Trial #55,negative,0,1,0,0.454545455
Trial #56,negative,0,0,1,0.464285714
Trial #57,negative,0,0,1,0.473684211
Trial #58,negative,0,0,1,0.482758621
Trial #59,positive,1,0,0,0.474576271
Trial #60,positive,1,1,1,0.483333333
Trial #61,positive,1,1,1,0.491803279
Trial #62,positive,1,0,0,0.483870968
Trial #63,positive,1,1,1,0.492063492
Trial #64,positive,1,0,0,0.484375
Trial #65,negative,0,1,0,0.476923077
Trial #66,positive,1,1,1,0.484848485
Trial #67,negative,0,1,0,0.47761194
Trial #68,positive,1,1,1,0.485294118
Trial #69,positive,1,1,1,0.492753623
Trial #70,positive,1,0,0,0.485714286
Trial #71,negative,0,1,0,0.478873239
Trial #72,positive,1,0,0,0.472222222
Trial #73,negative,0,0,1,0.479452055
Trial #74,negative,0,1,0,0.472972973
Trial #75,positive,1,1,1,0.48
Trial #76,positive,1,1,1,0.486842105
Trial #77,positive,1,0,0,0.480519481
Trial #78,positive,1,1,1,0.487179487
Trial #79,positive,1,1,1,0.493670886
Trial #80,positive,1,0,0,0.4875
Trial #81,positive,1,1,1,0.49382716
Trial #82,positive,1,0,0,0.487804878
Trial #83,negative,0,0,1,0.493975904
Trial #84,positive,1,0,0,0.488095238
Trial #85,positive,1,0,0,0.482352941
Trial #86,positive,1,1,1,0.488372093
Trial #87,positive,1,0,0,0.482758621
Trial #88,negative,0,1,0,0.477272727
Trial #89,positive,1,1,1,0.483146067
Trial #90,positive,1,0,0,0.477777778
Trial #91,positive,1,0,0,0.472527473
Trial #92,positive,1,0,0,0.467391304
Trial #93,positive,1,1,1,0.47311828
Trial #94,negative,0,0,1,0.478723404
Trial #95,negative,0,1,0,0.473684211
Trial #96,positive,1,1,1,0.479166667
Trial #97,positive,1,0,0,0.474226804
Trial #98,positive,1,1,1,0.479591837
Trial #99,positive,1,1,1,0.484848485
Trial #100,positive,1,1,1,0.49
Trial #101,positive,1,0,0,0.485148515
Trial #102,positive,1,0,0,0.480392157
Trial #103,negative,0,1,0,0.475728155
Trial #104,negative,0,1,0,0.471153846
Trial #105,negative,0,1,0,0.466666667
Trial #106,positive,1,1,1,0.471698113
Trial #107,positive,1,1,1,0.476635514
Trial #108,positive,1,0,0,0.472222222
Trial #109,negative,0,1,0,0.467889908
Trial #110,negative,0,0,1,0.472727273
Trial #111,positive,1,1,1,0.477477477
Trial #112,positive,1,1,1,0.482142857
Trial #113,positive,1,1,1,0.486725664
Trial #114,negative,0,0,1,0.49122807
Trial #115,negative,0,1,0,0.486956522
Trial #116,positive,1,0,0,0.482758621
Trial #117,positive,1,0,0,0.478632479
Trial #118,negative,0,0,1,0.483050847
Trial #119,positive,1,0,0,0.478991597
Trial #120,positive,1,0,0,0.475
Trial #121,positive,1,1,1,0.479338843
Trial #122,positive,1,1,1,0.483606557
Trial #123,positive,1,0,0,0.479674797
Trial #124,positive,1,1,1,0.483870968
Trial #125,negative,0,1,0,0.48
Trial #126,positive,1,0,0,0.476190476
Trial #127,positive,1,0,0,0.472440945
Trial #128,positive,1,0,0,0.46875
Trial #129,positive,1,1,1,0.472868217
Trial #130,negative,0,1,0,0.469230769
Trial #131,negative,0,0,1,0.473282443
Trial #132,negative,0,0,1,0.477272727
Trial #133,positive,1,1,1,0.481203008
Trial #134,negative,0,0,1,0.485074627
Trial #135,positive,1,0,0,0.481481481
Trial #136,positive,1,1,1,0.485294118
Trial #137,positive,1,0,0,0.481751825
Trial #138,positive,1,0,0,0.47826087
Trial #139,positive,1,1,1,0.482014388
Trial #140,positive,1,1,1,0.485714286
Trial #141,negative,0,0,1,0.489361702
Trial #142,positive,1,0,0,0.485915493
